molecule_id,canonical_smiles,"Serotonin (5-HT) receptor","Serotonin 1 (5-HT1) receptor","Serotonin 1 receptors; 5-HT1B & 5-HT1D","Serotonin 1a (5-HT1a) receptor","Serotonin 1b (5-HT1b) receptor","Serotonin 1d (5-HT1d) receptor","Serotonin 1e (5-HT1e) receptor","Serotonin 1f (5-HT1f) receptor","Serotonin 2 (5-HT2) receptor","Serotonin 2 receptors; 5-HT2a & 5-HT2c","Serotonin 2a (5-HT2a) receptor","Serotonin 2b (5-HT2b) receptor","Serotonin 2c (5-HT2c) receptor","Serotonin 3 (5-HT3) receptor","Serotonin 3a (5-HT3a) receptor","Serotonin 3b (5-HT3b) receptor","Serotonin 4 (5-HT4) receptor","Serotonin 5a (5-HT5a) receptor","Serotonin 5b (5-HT5b) receptor","Serotonin 6 (5-HT6) receptor","Serotonin 7 (5-HT7) receptor"
97,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,,,,5.44333333333333,,9.48,,,4.38,,5.82,5.2825,,,,,,,,,
115,CN1CCC[C@H]1c1cccnc1,,,,,,,,,,,,,,4.15,,,,,,,
173,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,,,,,,,,,,,,4.44,,,,,,,,,
250,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,,,,,,,,,,,,,,,,5.365,,,,
322,COc1ccc2c(c1)[nH]c1c(C)nccc12,,,,,,,,,,,5.11,,5.03,,,,,,,5.83,5.26
323,Brc1cccc2c3c([nH]c12)CNCC3,,,,,,,,,,,7.66666666666667,,7.32,,,,,,,,
324,Brc1cccc2c3c([nH]c12)C=NCC3,,,,,,,,,,,6.95,,6.85,,,,,,,,
331,COc1ccc2[nH]c3c(c2c1)CCN=C3,,,,,,,,,,,5.62,,5.93,,,,,,,,
343,COc1cccc2[nH]c3c(c12)CCN=C3,,,,,,,,,,,6.315,,7.155,,,,,,,,
344,COc1cccc2[nH]c3c(c12)CCNC3,,,,,,,,,,,7.005,,6.85,,,,,,,,
351,COc1ccc2c3c([nH]c2c1)CNCC3,,,,,,,,,,,5.44,,,,,,,,,,5.85
352,COc1cccc2c3c([nH]c12)CNCC3,,,,,,,,,,,6.295,,5.9,,,,,,,,
379,C1=NCCc2c1[nH]c1ccccc21,,,,,,,,,,,5.63,,5.96,,,,,,,,
388,Brc1cccc2[nH]c3c(c12)CCNC3,,,,,,,,,,,6.925,,6.89,,,,,,,,
389,Brc1ccc2[nH]c3c(c2c1)CCNC3,,,,,,,,,,,6.3,,6.68,,,,,,,,
402,Brc1ccc2c3c([nH]c2c1)CNCC3,,,,,,,,,,,6.62,,6.6,,,,,,,,
408,Brc1ccc2c3c([nH]c2c1)C=NCC3,,,,,,,,,,,5.88,,5.68,,,,,,,,
