smiles,pchembl_value,target_name,target_id
COc1cc2nc(N(C)CCCCCCN(C)C(=O)c3cccc(CN(C)C)c3)nc(N)c2cc1OC,6.13,Serotonin 1a (5-HT1a) receptor,0
COc1ccccc1N1CCN(CCCCCC(=O)N2CCC[C@H]2C(N)=O)CC1,7.36,Serotonin 1a (5-HT1a) receptor,0
NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)c1ccc(CN2CCN(c3cccc(Cl)c3Cl)CC2)cc1,6.67,Serotonin 1a (5-HT1a) receptor,0
O=C(c1ccc(F)c(Cl)c1)N1CCC(F)(CNCCOc2ccc(Cl)cc2)CC1,8.41,Serotonin 1a (5-HT1a) receptor,0
COc1ccccc1OCCNCC1(F)CCN(C(=O)c2ccc(F)c(Cl)c2)CC1,10.51,Serotonin 1a (5-HT1a) receptor,0
COc1ccc(OCCNCC2(F)CCN(C(=O)c3ccc(Cl)c(Cl)c3)CC2)cc1,8.91,Serotonin 1a (5-HT1a) receptor,0
CNc1ccccc1OCCNCC1(F)CCN(C(=O)c2ccc(F)c(Cl)c2)CC1,9.93,Serotonin 1a (5-HT1a) receptor,0
CN(C)c1cccc(OCCNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)c1,9.52,Serotonin 1a (5-HT1a) receptor,0
CC(=O)Nc1cccc(OCCNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)c1,10.08,Serotonin 1a (5-HT1a) receptor,0
O=C(c1ccc(F)c(Cl)c1)N1CCC(F)(CNCCOc2cccc3cccnc23)CC1,10.22,Serotonin 1a (5-HT1a) receptor,0
O=C(c1ccc(Cl)c(Cl)c1)N1CCC(F)(CNCCOc2cccc3cccnc23)CC1,9.37,Serotonin 1a (5-HT1a) receptor,0
Cc1cccc(C#N)c1-c1cccc2c1-c1cccc3c1[C@@H](C2)N(C)CC3,6.11,Serotonin 1a (5-HT1a) receptor,0
C[C@H](CN1CCN(c2cc(F)c(F)cc2F)CC1)N1C(=O)CC2(CCCC2)CC1=O,6.31,Serotonin 1a (5-HT1a) receptor,0
O=C(/C=C/c1ccccc1)N(Cc1ccc(-c2ccc(CNCCc3ccccc3)cc2)cc1)Cc1cccnc1.O=C(O)C(F)(F)F,6.0,Serotonin 1a (5-HT1a) receptor,0
C#CCN(C)Cc1ccc(OCCCCCN2CCN(c3cccc4c3ccn4S(=O)(=O)c3ccccc3)CC2)cc1,6.17,Serotonin 1a (5-HT1a) receptor,0
CCCN(CCC)C1CCc2cccc(O)c2C1,8.68,Serotonin 1a (5-HT1a) receptor,0
CCCN1CCc2cccc3c2C1Cc1cccc(OCCCn2cc(CCN4CCN(c5ccccc5OC)CC4)nn2)c1-3,8.12,Serotonin 1a (5-HT1a) receptor,0
Fc1ccc(-c2cncc(CN3CCN(c4cccc5c4OCCO5)CC3)c2)cc1,9.1,Serotonin 1a (5-HT1a) receptor,0
O=C(Nc1ccc(CCN2CCN(c3ccccc3)CC2)cc1)Nc1cccnc1,6.4,Serotonin 1a (5-HT1a) receptor,0
O=C(Cc1cccnc1)Nc1cccc(CCN2CCN(c3ccccc3)CC2)c1,8.86,Serotonin 1a (5-HT1a) receptor,0
O=C(Nc1cccc(CCN2CCN(c3ccccc3)CC2)c1)Nc1ccccn1,8.12,Serotonin 1a (5-HT1a) receptor,0
