"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL428879";"";"None";"429.47";"1";"6.08";"15";"CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccc(-c3cccnc3)c1)CC2";"Ki";"'='";"79.43";"nM";"7.10";"";"";"UO_0000065";"16.53";"0.32";"1.02";"15.70";"0";"CHEMBL616877";"Binding affinity towards human cloned 5-hydroxytryptamine receptor 2A in HEK293 cells, using [3H]ketanserin as radioligand.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL224";"Serotonin 2a (5-HT2a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132976";"1";"Scientific Literature";"J Med Chem";"2000";"CHEMBL3307715";"";"";"";"-7.1"
"CHEMBL4072821";"";"None";"452.56";"0";"3.50";"12c";"CCOC(=O)c1cc2cc(OCCCCN3CCN(c4ccccc4OC)CC3)ccn2n1";"Ki";"'='";"78.0";"nM";"7.11";"";"";"UO_0000065";"15.71";"0.29";"3.61";"10.37";"0";"CHEMBL4010158";"Displacement of [3H]ketanserin from human 5-HT2A receptor expressed in HEK293T cell membranes after 2 hrs by scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL224";"Serotonin 2a (5-HT2a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007455";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3706569";"";"";"";"78.0"
"CHEMBL43697";"";"None";"290.41";"0";"4.99";"11";"CN1CCCCC1c1c(-c2ccccc2)[nH]c2ccccc12";"Ki";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"27.04";"0.49";"2.86";"41.27";"0";"CHEMBL617063";"Ability to displace [3H]ketanserin binding to human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL224";"Serotonin 2a (5-HT2a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134475";"1";"Scientific Literature";"J Med Chem";"2001";"CHEMBL3308072";"";"";"";"14.0"
"CHEMBL280297";"";"None";"489.50";"1";"7.04";"35";"COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(-c3ccccc3)cc(-c3cccnc3)c1)CC2";"Ki";"'='";"630.96";"nM";"6.20";"";"";"UO_0000065";"12.67";"0.24";"-0.84";"11.38";"0";"CHEMBL616877";"Binding affinity towards human cloned 5-hydroxytryptamine receptor 2A in HEK293 cells, using [3H]ketanserin as radioligand.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL224";"Serotonin 2a (5-HT2a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132976";"1";"Scientific Literature";"J Med Chem";"2000";"CHEMBL3307715";"";"";"";"-6.2"
"CHEMBL523245";"";"None";"330.35";"0";"4.53";"35";"Fc1ccc(-c2[nH]c3cc(F)ccc3c2[C@@H]2CNCC[C@H]2F)cc1";"Ki";"'='";"0.12";"nM";"9.92";"";"";"UO_0000065";"30.03";"0.56";"5.39";"35.66";"0";"CHEMBL617063";"Ability to displace [3H]ketanserin binding to human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL224";"Serotonin 2a (5-HT2a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134475";"1";"Scientific Literature";"J Med Chem";"2001";"CHEMBL3308072";"";"";"";"0.12"
"CHEMBL3290011";"";"None";"473.60";"0";"4.73";"71";"O=S(=O)(NCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2ccccc2s1";"Ki";"'='";"0.9";"nM";"9.05";"";"";"UO_0000065";"19.10";"0.39";"4.32";"11.99";"0";"CHEMBL3297243";"Displacement of [3H]ketanserin from human recombinant 5-HT2A receptor expressed in CHO-K1 cell membrane after 60 mins by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL224";"Serotonin 2a (5-HT2a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286108";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307512";"";"";"";"0.9"
"CHEMBL3233409";"";"None";"381.50";"0";"3.72";"41";"CN1CCN2c3c(cccc31)[C@@H]1CN(CCCOc3ccc(F)cc3)CC[C@@H]12";"Ki";"'='";"2.4";"nM";"8.62";"";"";"UO_0000065";"22.59";"0.42";"4.90";"45.49";"0";"CHEMBL3243814";"Displacement of [125]DOI from human recombinant full length 5HT2A receptor expressed in HEK293E cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293E";"None";"";"";"";"CHEMBL224";"Serotonin 2a (5-HT2a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232708";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"2.4"
"CHEMBL440389";"";"None";"420.58";"0";"4.42";"4h";"Cc1ccc(CCN2CCN(c3nsc4ccccc34)CC2)c2c1C(C)CC(=O)N2";"Ki";"'='";"0.13";"nM";"9.89";"";"";"UO_0000065";"23.51";"0.45";"5.47";"20.40";"0";"CHEMBL872403";"Binding affinity for 5-hydroxytryptamine 2A receptor expressed in 3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL224";"Serotonin 2a (5-HT2a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140391";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3307716";"";"";"";"0.13"
"CHEMBL198599";"";"None";"404.51";"0";"3.95";"4j";"Cc1cc(CCN2CCN(c3noc4ccccc34)CC2)c2c(c1)C(C)CC(=O)N2";"Ki";"'='";"0.28";"nM";"9.55";"";"";"UO_0000065";"23.62";"0.43";"5.60";"15.51";"0";"CHEMBL872403";"Binding affinity for 5-hydroxytryptamine 2A receptor expressed in 3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL224";"Serotonin 2a (5-HT2a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140391";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3307716";"";"";"";"0.28"
"CHEMBL369913";"";"None";"434.61";"0";"4.52";"6b";"CC(=O)N1CCC(C)c2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c21";"Ki";"'='";"0.3";"nM";"9.52";"";"";"UO_0000065";"21.91";"0.42";"5.00";"24.00";"0";"CHEMBL872403";"Binding affinity for 5-hydroxytryptamine 2A receptor expressed in 3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL224";"Serotonin 2a (5-HT2a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140391";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3307716";"";"";"";"0.3"
