"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL276571";"";"None";"443.43";"1";"5.38";"31";"COc1ccc(NC(=O)N2CCc3cc(OC)c(C(F)(F)F)cc32)cc1-c1cccnc1";"Ki";"'='";"15.85";"nM";"7.80";"";"";"UO_0000065";"17.59";"0.33";"2.42";"12.25";"0";"CHEMBL617780";"Binding affinities towards human cloned 5-hydroxytryptamine 2B receptor in HEK293 cells using [3H]5-HT as radioligand.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1833";"Serotonin 2b (5-HT2b) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132976";"1";"Scientific Literature";"J Med Chem";"2000";"CHEMBL3307715";"";"";"";"-7.8"
"CHEMBL232254";"";"None";"451.54";"0";"4.60";"19";"COc1ccc(N2Cc3c(c4cc(F)ccc4n3C)C2=O)cc1OCCN1CCC(C)CC1";"Ki";"'='";"63.1";"nM";"7.20";"";"";"UO_0000065";"15.95";"0.30";"2.60";"15.34";"0";"CHEMBL889894";"Displacement of [3H]5-HT from human 5HT2B receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1833";"Serotonin 2b (5-HT2b) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146275";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307715";"";"";"";"-7.2"
"CHEMBL388882";"";"None";"436.58";"1";"5.18";"24";"COc1ccc(N2Cc3sc4ccccc4c3C2=O)cc1OCCN1CCC(C)CC1";"Ki";"'='";"199.53";"nM";"6.70";"";"";"UO_0000065";"15.35";"0.30";"1.52";"15.95";"0";"CHEMBL889894";"Displacement of [3H]5-HT from human 5HT2B receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1833";"Serotonin 2b (5-HT2b) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146275";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307715";"";"";"";"-6.7"
"CHEMBL404581";"";"None";"333.41";"0";"3.91";"34a";"Fc1ccc(-c2nc(Cc3ccccc3)nc3c2CCCNC3)cc1";"Ki";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"17.65";"0.32";"1.98";"15.57";"0";"CHEMBL934033";"Displacement of [3H]mesulergine from human recombinant 5HT2B receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1833";"Serotonin 2b (5-HT2b) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141597";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308072";"";"";"";"1300.0"
"CHEMBL404582";"";"None";"305.36";"0";"3.60";"18i";"Fc1ccc(-c2nc(-c3ccccc3)nc3c2CNCC3)cc1";"Ki";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"19.65";"0.36";"2.40";"15.87";"0";"CHEMBL934033";"Displacement of [3H]mesulergine from human recombinant 5HT2B receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1833";"Serotonin 2b (5-HT2b) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141597";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308072";"";"";"";"1000.0"
"CHEMBL271317";"";"None";"337.37";"0";"3.66";"18e";"Fc1ccc(Cc2nc3c(c(-c4ccc(F)cc4)n2)CNCC3)cc1";"Ki";"'='";"2200.0";"nM";"5.66";"";"";"UO_0000065";"16.77";"0.31";"2.00";"14.96";"0";"CHEMBL934033";"Displacement of [3H]mesulergine from human recombinant 5HT2B receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1833";"Serotonin 2b (5-HT2b) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141597";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308072";"";"";"";"2200.0"
"CHEMBL271212";"";"None";"297.38";"0";"3.59";"18b";"Fc1ccc(-c2nc(C3CCCC3)nc3c2CNCC3)cc1";"Ki";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"22.39";"0.41";"3.07";"17.61";"0";"CHEMBL934033";"Displacement of [3H]mesulergine from human recombinant 5HT2B receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1833";"Serotonin 2b (5-HT2b) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141597";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308072";"";"";"";"220.0"
"CHEMBL590580";"";"None";"231.30";"0";"0.86";"3a, enantiomer";"Cc1cccc2c1C(=O)NC1CCNCCN21";"Ki";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"34.59";"0.64";"7.14";"18.03";"0";"CHEMBL1066138";"Displacement of [125I]LSD from human recombinant 5HT2B receptor expressed in HEK293E cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293E";"None";"";"";"";"CHEMBL1833";"Serotonin 2b (5-HT2b) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158511";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"10.0"
"CHEMBL598851";"";"None";"390.90";"0";"2.98";"10e";"NC1CCN(c2ccc3[nH]nc(S(=O)(=O)c4cccc(Cl)c4)c3c2)CC1";"Ki";"'='";"442.0";"nM";"6.36";"";"";"UO_0000065";"16.26";"0.33";"3.37";"6.90";"0";"CHEMBL1073456";"Displacement of [3H]5HT from human 5HT2B receptor expressed in CHO cells by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1833";"Serotonin 2b (5-HT2b) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157614";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3308072";"";"";"";"442.0"
"CHEMBL3402670";"";"None";"332.83";"0";"3.60";"(+)-5e";"CN(C)[C@H]1Cc2ccccc2[C@H](c2cccc([N+](=O)[O-])c2)C1.Cl";"Ki";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"25.98";"0.48";"4.10";"16.60";"0";"CHEMBL3406943";"Displacement of [3H]Mesulergine from human 5-HT2B receptor expressed in HEK293 cells by scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1833";"Serotonin 2b (5-HT2b) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3400036";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"CHEMBL3307715";"";"";"";"20.0"
