"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL43697";"";"None";"290.41";"0";"4.99";"11";"CN1CCCCC1c1c(-c2ccccc2)[nH]c2ccccc12";"Ki";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"19.62";"0.35";"0.71";"29.95";"0";"CHEMBL617895";"Ability to displace [3H]mesulergine binding to human 5-hydroxytryptamine 2C receptor stably expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL225";"Serotonin 2c (5-HT2c) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134475";"1";"Scientific Literature";"J Med Chem";"2001";"CHEMBL3308072";"";"";"";"2000.0"
"CHEMBL3286592";"";"None";"383.47";"0";"2.22";"41";"COc1ccc(S(=O)(=O)n2cc3c4c(cccc42)N2CCNCC2C3)cc1";"Ki";"'='";"2884.03";"nM";"5.54";"";"";"UO_0000065";"14.45";"0.28";"3.32";"8.71";"0";"CHEMBL3294607";"Displacement of [3H]mesulergine from human 5-HT2C receptor expressed in human tsA201 cells after 1 hr by scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"tsA201";"None";"";"";"";"CHEMBL225";"Serotonin 2c (5-HT2c) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286112";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"5.54"
"CHEMBL3233429";"";"None";"364.46";"0";"4.02";"61";"O=C(CCCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CC3)c1ccc(F)cc1";"Ki";"'='";"507.0";"nM";"6.29";"";"";"UO_0000065";"17.27";"0.32";"2.27";"26.73";"0";"CHEMBL3243815";"Displacement of [125]DOI from human recombinant full length 5HT2C receptor expressed in HEK293E cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293E";"None";"";"";"";"CHEMBL225";"Serotonin 2c (5-HT2c) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232708";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"507.0"
"CHEMBL42276";"";"None";"379.20";"0";"3.59";"16";"Cc1ccc2c(c1I)CCN2C(=O)Nc1cccnc1";"Ki";"'='";"25.12";"nM";"7.60";"";"";"UO_0000065";"20.04";"0.52";"4.01";"16.80";"0";"CHEMBL617752";"Binding affinity towards cloned human 5-hydroxytryptamine 2C receptor expressed in HEK 293 cells using [3H]mesulergine as radioligand";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL225";"Serotonin 2c (5-HT2c) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131637";"1";"Scientific Literature";"J Med Chem";"1998";"CHEMBL3307715";"";"";"";"-7.6"
"CHEMBL315223";"";"None";"292.34";"0";"3.17";"7a";"Cn1ccc2c3c(ccc21)N(C(=O)Nc1cccnc1)CC3";"Ki";"'='";"66.07";"nM";"7.18";"";"";"UO_0000065";"24.56";"0.45";"4.01";"14.31";"0";"CHEMBL857982";"Binding affinity against human 5-hydroxytryptamine 2C receptor expressed in 293 cells using [3H]mesulergine";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL225";"Serotonin 2c (5-HT2c) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128425";"1";"Scientific Literature";"J Med Chem";"1995";"CHEMBL3307715";"";"";"";"-7.18"
"CHEMBL327651";"";"None";"293.41";"0";"3.77";"16c";"CN(C)C[C@@H]1C[C@H]2c3ccccc3Cc3ccccc3[C@@H]2O1";"Ki";"'='";"28.0";"nM";"7.55";"";"";"UO_0000065";"25.74";"0.47";"3.78";"60.57";"0";"CHEMBL617894";"Ability to displace [3H]- mesulergine from human cloned 5-hydroxytryptamine 2C receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL225";"Serotonin 2c (5-HT2c) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149209";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3308072";"";"";"";"28.0"
"CHEMBL328573";"";"None";"294.40";"0";"3.40";"3";"CN(C)C[C@@H]1C[C@@H]2c3ccccc3Cc3ccccc3N2O1";"Ki";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"30.57";"0.56";"5.60";"57.29";"0";"CHEMBL617894";"Ability to displace [3H]- mesulergine from human cloned 5-hydroxytryptamine 2C receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL225";"Serotonin 2c (5-HT2c) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149209";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3308072";"";"";"";"1.0"
"CHEMBL40341";"";"None";"331.76";"0";"3.12";"42";"COC(=O)c1cc2c(cc1Cl)N(C(=O)Nc1cccnc1)CC2";"Ki";"'='";"31.62";"nM";"7.50";"";"";"UO_0000065";"22.61";"0.45";"4.38";"10.49";"0";"CHEMBL617752";"Binding affinity towards cloned human 5-hydroxytryptamine 2C receptor expressed in HEK 293 cells using [3H]mesulergine as radioligand";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL225";"Serotonin 2c (5-HT2c) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131637";"1";"Scientific Literature";"J Med Chem";"1998";"CHEMBL3307715";"";"";"";"-7.5"
"CHEMBL14374";"";"None";"444.41";"1";"5.20";"39";"COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2";"Ki";"'='";"0.631";"nM";"9.20";"";"";"UO_0000065";"20.70";"0.39";"4.00";"12.01";"0";"CHEMBL617754";"Binding affinity towards human cloned 5-hydroxytryptamine receptor 2C in HEK293 cells, using [3H]mesulergine as radioligand.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL225";"Serotonin 2c (5-HT2c) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132976";"1";"Scientific Literature";"J Med Chem";"2000";"CHEMBL3307715";"";"";"";"-9.2"
"CHEMBL271317";"";"None";"337.37";"0";"3.66";"18e";"Fc1ccc(Cc2nc3c(c(-c4ccc(F)cc4)n2)CNCC3)cc1";"Ki";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"17.78";"0.33";"2.34";"15.87";"0";"CHEMBL934034";"Displacement of [3H]mesulergine from human recombinant 5HT2C receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL225";"Serotonin 2c (5-HT2c) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141597";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308072";"";"";"";"1000.0"
