"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL286136";"";"None";"312.80";"0";"2.57";"ML-10302";"COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCCC1";"Ki";"'='";"5.7";"nM";"8.24";"";"";"UO_0000065";"26.36";"0.54";"5.67";"12.72";"1";"CHEMBL895704";"Binding affinity to Rluc fused 5HT4 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1875";"Serotonin 4 (5-HT4) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148748";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3308072";"";"";"";"5.7"
"CHEMBL76370";"TEGASEROD";"4.0";"301.39";"0";"2.81";"3";"CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12";"Ki";"'='";"31.0";"nM";"7.51";"";"";"UO_0000065";"24.91";"0.47";"4.70";"8.80";"0";"CHEMBL979354";"Displacement of [N-methyl-3H]GR-113808 from human 5HT4 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1875";"Serotonin 4 (5-HT4) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158075";"1";"Scientific Literature";"J Nat Prod";"2006";"CHEMBL3307715";"";"";"";"0.031"
"CHEMBL61130";"";"None";"286.38";"0";"2.10";"3c";"CC(C)n1nc(C(=O)NC2CCNCC2)c2ccccc21";"Ki";"'='";"398.11";"nM";"6.40";"";"";"UO_0000065";"22.35";"0.42";"4.30";"10.86";"0";"CHEMBL1051848";"Displacement of [H]GR-113808 from human 5HT4C receptor expressed in HEK293 cells by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1875";"Serotonin 4 (5-HT4) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153520";"1";"Scientific Literature";"J Med Chem";"2009";"CHEMBL3307715";"";"";"";"6.4"
"CHEMBL551940";"";"None";"395.98";"0";"4.49";"6c";"CCCCCCCCN1CCC(NC(=O)c2cc(Cl)c(N)cc2OC)CC1";"Ki";"'='";"79.43";"nM";"7.10";"";"";"UO_0000065";"17.93";"0.36";"2.61";"10.50";"0";"CHEMBL1051848";"Displacement of [H]GR-113808 from human 5HT4C receptor expressed in HEK293 cells by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1875";"Serotonin 4 (5-HT4) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153520";"1";"Scientific Literature";"J Med Chem";"2009";"CHEMBL3307715";"";"";"";"7.1"
"CHEMBL123377";"";"None";"389.88";"0";"2.91";"9a";"COc1cc(N)c(Cl)cc1C(=O)OCCN1CCN(c2ccccc2)CC1";"Ki";"'='";"32.0";"nM";"7.50";"";"";"UO_0000065";"19.22";"0.38";"4.58";"11.02";"0";"CHEMBL620703";"Binding affinity was determined against cloned 5-hydroxytryptamine 4D receptor isoform expressed in COS-7 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"COS-7";"None";"";"";"";"CHEMBL1875";"Serotonin 4 (5-HT4) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133682";"1";"Scientific Literature";"J Med Chem";"2000";"CHEMBL3307648";"";"";"";"32.0"
"CHEMBL330848";"";"None";"426.30";"0";"2.35";"9w";"COc1cc(N)c(Cl)cc1C(=O)OCCN1CCN(c2ccc(Cl)nn2)CC1";"Ki";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"20.41";"0.42";"6.35";"9.27";"0";"CHEMBL620706";"Binding affinity was determined against cloned 5-hydroxytryptamine 4E receptor isoform expressed in C6 glial cells incubated with 0.2 nM [3H]GR-113808";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"C6";"None";"";"";"";"CHEMBL1875";"Serotonin 4 (5-HT4) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133682";"1";"Scientific Literature";"J Med Chem";"2000";"CHEMBL3308345";"";"";"";"2.0"
"CHEMBL2087332";"";"None";"470.57";"0";"2.02";"12a";"COC(=O)NCC(O)CN1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1cc3ccccc3n(C(C)C)c1=O)C2";"Ki";"'='";"50.12";"nM";"7.30";"";"";"UO_0000065";"15.51";"0.29";"5.28";"6.47";"0";"CHEMBL2092044";"Displacement of [3H]GR113808 from human recombinant 5HT4c receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1875";"Serotonin 4 (5-HT4) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2086223";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307715";"";"";"";"7.3"
"CHEMBL2087337";"VELUSETRAG";"2.0";"504.65";"1";"1.56";"15, TD-5108";"CC(C)n1c(=O)c(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C[C@@H](O)CN(C)S(C)(=O)=O)cc2ccccc21";"Ki";"'='";"19.95";"nM";"7.70";"";"";"UO_0000065";"15.26";"0.30";"6.14";"6.88";"0";"CHEMBL2092044";"Displacement of [3H]GR113808 from human recombinant 5HT4c receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1875";"Serotonin 4 (5-HT4) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2086223";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307715";"";"";"";"7.7"
"CHEMBL2087326";"";"None";"455.56";"0";"1.34";"9a";"CC(C)n1c(=O)c(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3CC(O)CNC(N)=O)cc2ccccc21";"Ki";"'='";"15.85";"nM";"7.80";"";"";"UO_0000065";"17.12";"0.32";"6.46";"6.01";"0";"CHEMBL2092044";"Displacement of [3H]GR113808 from human recombinant 5HT4c receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1875";"Serotonin 4 (5-HT4) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2086223";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307715";"";"";"";"7.8"
"CHEMBL124485";"";"None";"424.33";"0";"3.56";"9b";"COc1cc(N)c(Cl)cc1C(=O)OCCN1CCN(c2ccc(Cl)cc2)CC1";"Ki";"'='";"715.0";"nM";"6.15";"";"";"UO_0000065";"14.48";"0.30";"2.59";"9.03";"0";"CHEMBL620706";"Binding affinity was determined against cloned 5-hydroxytryptamine 4E receptor isoform expressed in C6 glial cells incubated with 0.2 nM [3H]GR-113808";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"C6";"None";"";"";"";"CHEMBL1875";"Serotonin 4 (5-HT4) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133682";"1";"Scientific Literature";"J Med Chem";"2000";"CHEMBL3308345";"";"";"";"715.0"
